UImage,LImage,AF_rep,AM_rep,CF_rep,CM_rep,Upper_Image,Lower_Image,TrailType,TrialType,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,BlockTrail.thisRepN,BlockTrail.thisTrialN,BlockTrail.thisN,BlockTrail.thisIndex,AF_Loop.thisRepN,AF_Loop.thisTrialN,AF_Loop.thisN,AF_Loop.thisIndex,AM_Loop.thisRepN,AM_Loop.thisTrialN,AM_Loop.thisN,AM_Loop.thisIndex,CF_Loop.thisRepN,CF_Loop.thisTrialN,CF_Loop.thisN,CF_Loop.thisIndex,CM_Loop.thisRepN,CM_Loop.thisTrialN,CM_Loop.thisN,CM_Loop.thisIndex,AFcondition_file,AMcondition_file,CFcondition_file,CMcondition_file,InstrText.started,InstrText.stopped,InstrKey.keys,InstrKey.rt,InstrKey.started,InstrKey.stopped,Fixation0.started,Fixation0.stopped,Upper_image.started,Upper_image.stopped,Lower_image.started,Lower_image.stopped,PracMouse.x,PracMouse.y,PracMouse.leftButton,PracMouse.midButton,PracMouse.rightButton,PracMouse.clicked_name,PracMouse.clicked_pos,PracMouse.started,PracMouse.stopped,BlankTest.started,BlankTest.stopped,BreakText.started,BreakText.stopped,Prac_Key.keys,Prac_Key.rt,Prac_Key.started,Prac_Key.stopped,Fixation4.started,Fixation4.stopped,CM_image_1.started,CM_image_1.stopped,CM_image_2.started,CM_image_2.stopped,CMMouse.x,CMMouse.y,CMMouse.leftButton,CMMouse.midButton,CMMouse.rightButton,CMMouse.clicked_name,CMMouse.clicked_pos,CMMouse.started,CMMouse.stopped,Fixation2.started,Fixation2.stopped,AM_image_1.started,AM_image_1.stopped,AM_imgae_2.started,AM_imgae_2.stopped,AMMouse.x,AMMouse.y,AMMouse.leftButton,AMMouse.midButton,AMMouse.rightButton,AMMouse.started,AMMouse.stopped,Fixation.started,Fixation.stopped,AF_image_1.started,AF_image_1.stopped,AF_image_2.started,AF_image_2.stopped,AFMouse.x,AFMouse.y,AFMouse.leftButton,AFMouse.midButton,AFMouse.rightButton,AFMouse.clicked_name,AFMouse.clicked_pos,AFMouse.started,AFMouse.stopped,Fixation3.started,Fixation3.stopped,CF_image_1.started,CF_image_1.stopped,CF_image_2.started,CF_image_2.stopped,CFMouse.x,CFMouse.y,CFMouse.leftButton,CFMouse.midButton,CFMouse.rightButton,CFMouse.clicked_name,CFMouse.clicked_pos,CFMouse.started,CFMouse.stopped,text.started,text.stopped,participant,gender,age,session,date,expName,psychopyVersion,frameRate,
,,0,0,0,1,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_04_250.png,materials/Asian/Male/L_A_M_04_270.png,,DLD,,,,,0,1,1,1,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.08974138800113,None,,,,,,,,,,,,,,,,,,,,,,61.60585390300548,62.10597284900723,62.08936677200836,None,62.08936677200836,None,0.024305555555555556,0.13055555555555556,0,0,0,0.5063123703439487,0.5063123703439487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/L_A_M_05_270.png,materials/Asian/Male/S_A_M_05_250.png,,DLU,,,,,0,1,1,1,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0895665249991,None,,,,,,,,,,,,,,,,,,,,,,65.58987415999582,66.08976703000371,66.08976703000371,None,66.08976703000371,None,-0.03125,-0.20347222222222222,0,0,0,0.5136472466547275,0.5136472466547275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_03_250.png,materials/Asian/Male/S_A_M_03_250.png,,S,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0900785660051,None,,,,,,,,,,,,,,,,,,,,,,69.59057953600131,70.0896162410063,70.0896162410063,None,70.0896162410063,None,0.005555555555555556,-0.13194444444444445,0,0,0,0.5130211886571487,0.5130211886571487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_02_250.png,materials/Asian/Male/L_A_M_02_270.png,,DLD,,,,,0,1,1,1,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.09016412300116,None,,,,,,,,,,,,,,,,,,,,,,73.59067246199993,74.09003553699586,74.09003553699586,None,74.09003553699586,None,0.034722222222222224,-0.15347222222222223,0,0,0,0.5125145756755956,0.5125145756755956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_07_250.png,materials/Asian/Male/S_A_M_07_250.png,,S,,,,,0,1,1,1,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.09015530400211,None,,,,,,,,,,,,,,,,,,,,,,77.59098518099927,78.09012747400266,78.09012747400266,None,78.09012747400266,None,0.0,0.0,0,0,0,0.5124518416560022,0.5124518416560022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_10_250.png,materials/Asian/Male/S_A_M_10_250.png,,S,,,,,0,1,1,1,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0736947270052,None,,,,,,,,,,,,,,,,,,,,,,81.58929098700173,82.09019818500383,82.07356050799717,None,82.07356050799717,None,0.011805555555555555,-0.14722222222222223,0,0,0,0.5135617536579957,0.5135617536579957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_02_250.png,materials/Asian/Male/S_A_M_02_250.png,,S,,,,,0,1,1,1,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.07420891700895,None,,,,,,,,,,,,,,,,,,,,,,85.57283627700235,86.07429785800923,86.07429785800923,None,86.07429785800923,None,0.01875,-0.12083333333333333,0,0,0,0.5133122666738927,0.5133122666738927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_05_250.png,materials/Asian/Male/S_A_M_05_250.png,,S,,,,,0,1,1,1,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.07424886900117,None,,,,,,,,,,,,,,,,,,,,,,89.57489285100019,90.0740880700032,90.0740880700032,None,90.0740880700032,None,-0.008333333333333333,0.12569444444444444,0,0,0,0.5118504476558883,0.5118504476558883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_09_250.png,materials/Asian/Male/S_A_M_09_250.png,,S,,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.07444151700474,None,,,,,,,,,,,,,,,,,,,,,,93.57508967499598,94.07428763099597,94.07428763099597,None,94.07428763099597,None,0.014583333333333334,0.11041666666666666,0,0,0,0.5132873546826886,0.5132873546826886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
